authors,first_name,last_name,title,description,rating,review_date,review,status,began_date,completed_date,tags,notes,groups,copies,created,publisher,publish_date,pages,price,isbn10,isbn13
"Neal Stephenson",Neal,Stephenson,Cryptonomicon," With this extraordinary first volume in what promises to be an epoch-making masterpiece, Neal Stephenson hacks into the secret histories of nations and the private obsessions of men, decrypting with dazzling virtuosity the forces that shaped this century.   In 1942, Lawrence Pritchard Waterhouse—mathematical genius and young Captain in the U.S. Navy - is assigned to detachment 2702. It is an outfit so secret that only a handful of people know it exists, and some of those people have names like Churchill and Roosevelt. The mission of Waterhouse and Detachment 2702-commanded by Marine Raider Bobby Shaftoe-is to keep the Nazis ignorant of the fact that Allied Intelligence has cracked the enemy's fabled Enigma code. It is a game, a cryptographic chess match between Waterhouse and his German counterpart, translated into action by the gung-ho Shaftoe and his forces.   Fast-forward to the present, where Waterhouse's crypto-hacker grandson, Randy, is attempting to create a ""data haven"" in Southeast Asia - a place where encrypted data can be stored and exchanged free of repression and scrutiny. As governments and multinationals attack the endeavor, Randy joins forces with Shaftoe's tough-as-nails granddaughter, Amy, to secretly salvage a sunken Nazi submarine that holds the key to keeping the dream of a data haven afloat. But soon their scheme brings to light a massive conspiracy with its roots in Detachment 2702 linked to an unbreakable Nazi code called Arethusa. And it will represent the path to unimaginable riches and a future of personal and digital liberty...or to universal totalitarianism reborn.   A breathtaking tour de force, and Neal Stephenson's most accomplished and affecting work to date, Cryptonomicon is profound and prophetic, hypnotic and hyper-driven, as it leaps forward and back between World War II and the World Wide Web, hinting all the while at a dark day-after-tomorrow. It is a work of great art, thought, and creative daring; the product of a truly icon ",,,,Completed,2016-07-01,2017-06-10,,,,1,2017-07-03,Avon,2002-11-05,1168,,0060512806,9780060512804
"Tim Wu",Tim,Wu,"Master Switch: The Rise and Fall of Information Empires (Vintage), The","It is easy to forget that every development in the history of the American information industry–from the telephone to radio to film–once existed in an open and chaotic marketplace inhabited by entrepreneurs and utopians, just as the Internet does today. Each of these, however, grew to be dominated by a monopolist or cartel. In this pathbreaking book, Tim Wu asks: will the Internet follow the same fate? Could the Web–the entire flow of American information–come to be ruled by a corporate leviathan in possession of ""the master switch""?Analyzing the strategic maneuvers of today’s great information powers–Apple, Google, and an eerily resurgent AT&T–Wu uncovers a time-honored pattern in which invention begets industry and industry begets empire. He shows how a battle royale for Internet’s future is brewing, and this is one war we dare not tune out",,,,Completed,2017-06-11,2017-08-10,,,,1,2017-07-03,Vintage,2011-11-29,384,,0307390993,9780307390998
"James Gleick",James,Gleick,"Information: A History, A Theory, A Flood, The","A New York Times Notable BookA Los Angeles Times and Cleveland Plain Dealer Best Book of the YearWinner of the PEN/E. O. Wilson Literary Science Writing AwardFrom the bestselling author of the acclaimed Chaos and Genius comes a thoughtful and provocative exploration of the big ideas of the modern era: Information, communication, and information theory.   Acclaimed science writer James Gleick presents an eye-opening vision of how our relationship to information has transformed the very nature of human consciousness. A fascinating intellectual journey through the history of communication and information, from the language of Africa’s talking drums to the invention of written alphabets; from the electronic transmission of code to the origins of information theory, into the new information age and the current deluge of news, tweets, images, and blogs. Along the way, Gleick profiles key innovators, including Charles Babbage, Ada Lovelace, Samuel Morse, and Claude Shannon, and reveals how our understanding of information is transforming not only how we look at the world, but how we live.",,,,Completed,2018-01-28,2018-06-28,,,,1,2018-07-29,Vintage,2012-03-06,544,,1400096235,9781400096237
"Cal Newport",Cal,Newport,"Digital Minimalism","Minimalism is the art of knowing how much is just enough. Digital minimalism applies this idea to our personal technology. It's the key to living a focused life in an increasingly noisy world. In this timely and enlightening book, the bestselling author of Deep Work introduces a philosophy for technology use that has already improved countless lives. Digital minimalists are all around us. They're the calm, happy people who can hold long conversations without furtive glances at their phones. They can get lost in a good book, a woodworking project, or a leisurely morning run. They can have fun with friends and family without the obsessive urge to document the experience. They stay informed about the news of the day, but don't feel overwhelmed by it. They don't experience ""fear of missing out"" because they already know which activities provide them meaning and satisfaction. Now, Newport gives us a name for this quiet movement, and makes a persuasive case for its urgency in our tech-saturated world. Common sense tips, like turning off notifications, or occasional rituals like observing a digital sabbath, don't go far enough in helping us take back control of our technological lives, and attempts to unplug completely are complicated by the demands of family, friends and work. What we need instead is a thoughtful method to decide what tools to use, for what purposes, and under what conditions. Drawing on a diverse array of real-life examples, from Amish farmers to harried parents to Silicon Valley programmers, Newport identifies the common practices of digital minimalists and the ideas that underpin them. He shows how digital minimalists are rethinking their relationship to social media, rediscovering the pleasures of the offline world, and reconnecting with their inner selves through regular periods of solitude. He then shares strategies for integrating these practices into your life, starting with a thirty-day ""digital declutter"" process that has already helped thousands feel less overwhelmed and more in control. Technology is intrinsically neither good nor bad. The key is using it to support your goals and values, rather than letting it use you. This book shows the way.",,,,Completed,2019-08-10,2019-08-21,,,,1,2019-08-31,Penguin,2019-02-05,304,,052553654X,9780525536543
"Cal Newport",Cal,Newport,"Deep Work","Wall Street Journal Hardcover Business BestsellerAn Amazon Best Book of January 2016 in Business & Leadership Pick One of the most valuable skills in our economy is becoming increasingly rare. If you master this skill, you'll achieve extraordinary results. Deep work is the ability to focus without distraction on a cognitively demanding task. It's a skill that allows you to quickly master complicated information and produce better results in less time. Deep work will make you better at what you do and provide the sense of true fulfillment that comes from craftsmanship. In short, deep work is like a super power in our increasingly competitive twenty-first century economy. And yet, most people have lost the ability to go deep-spending their days instead in a frantic blur of e-mail and social media, not even realizing there's a better way. In DEEP WORK, author and professor Cal Newport flips the narrative on impact in a connected age. Instead of arguing distraction is bad, he instead celebrates the power of its opposite. Dividing this book into two parts, he first makes the case that in almost any profession, cultivating a deep work ethic will produce massive benefits. He then presents a rigorous training regimen, presented as a series of four ""rules,"" for transforming your mind and habits to support this skill. A mix of cultural criticism and actionable advice, DEEP WORK takes the reader on a journey through memorable stories-from Carl Jung building a stone tower in the woods to focus his mind, to a social media pioneer buying a round-trip business class ticket to Tokyo to write a book free from distraction in the air-and no-nonsense advice, such as the claim that most serious professionals should quit social media and that you should practice being bored. DEEP WORK is an indispensable guide to anyone seeking focused success in a distracted world.",,,,Completed,2019-08-25,2019-08-31,,,,1,2019-08-31,"Grand Central Publishing",2016-01-05,288,,1455586668,9781455586660
"Jerry Kammer",Jerry,Kammer,"What Happened to Worksite Enforcement?: A Cautionary Tale of  Failed Immigration Reform","This book examines one of the most consequential failures in the recent history of American governance: the failure of the federal government to stop illegal immigration by enforcing the Immigration Reform and Control Act of 1986 (IRCA). As a result of that failure, IRCA has never come close to the goal that President Ronald Reagan identified when he signed it into law. Reagan said the legislation was intended to “establish a reasonable, fair, orderly, and secure system of immigration.” In a more precise formulation, a Department of Justice report in 1996 said the goal was “to reduce the magnet of jobs that draws illegal immigrants to this country and preserve those jobs for U.S. citizens and aliens authorized to work in the U.S.” This report is an examination of how and why that failure happened.",,,,Completed,2019-08-10,2019-08-10,,,,1,2019-08-31,"CreateSpace Independent Publishing Platform",2017-08-19,128,,1974356760,9781974356768
"Michael Lewis",Michael,Lewis,"Fifth Risk, The","""The election happened,"" remembers Elizabeth Sherwood-Randall, then deputy secretary of the Department of Energy. ""And then there was radio silence."" Across all departments, similar stories were playing out: Trump appointees were few and far between; those that did show up were shockingly uninformed about the functions of their new workplace. Some even threw away the briefing books that had been prepared for them.Michael Lewis's brilliant narrative takes us into the engine rooms of a government under attack by its own leaders. In Agriculture the funding of vital programs like food stamps and school lunches is being slashed. The Commerce Department may not have enough staff to conduct the 2020 Census properly. Over at Energy, where international nuclear risk is managed, it's not clear there will be enough inspectors to track and locate black market uranium before terrorists do.Willful ignorance plays a role in these looming disasters. If your ambition is to maximize short-term gains without regard to the long-term cost, you are better off not knowing those costs. If you want to preserve your personal immunity to the hard problems, it's better never to really understand those problems. There is upside to ignorance, and downside to knowledge. Knowledge makes life messier. It makes it a bit more difficult for a person who wishes to shrink the world to a worldview.If there are dangerous fools in this book, there are also heroes, unsung, of course. They are the linchpins of the system--those public servants whose knowledge, dedication, and proactivity keep the machinery running. Michael Lewis finds them, and he asks them what keeps them up at night.",,,,Completed,2019-08-22,2019-08-25,,,,1,2019-08-31,"W. W. Norton & Company, Incorporated",2018-10-02,256,,1324002654,9781324002659
"Reihan Salam",Reihan,Salam,"Melting Pot or Civil War?","“A clarion call to everyone who cares about the American nation and every person who calls it home.” —J.D. VANCE, author of Hillbilly Elegy Why would a son of immigrants call for tighter restrictions on immigration? For too long, liberals have suggested that only cruel, racist, or nativist bigots would want to restrict immigration. Anyone motivated by compassion and egalitarianism would choose open, or nearly-open, borders—or so the argument goes. Now, Reihan Salam, the son of Bangladeshi immigrants, turns this argument on its head. In this deeply researched but also deeply personal book, Salam shows why uncontrolled immigration is bad for everyone, including people like his family. Our current system has intensified the isolation of our native poor, and risks ghettoizing the children of poor immigrants. It ignores the challenges posed by the declining demand for less-skilled labor, even as it exacerbates ethnic inequality and deepens our political divides. If we continue on our current course, in which immigration policy serves wealthy insiders who profit from cheap labor, and cosmopolitan extremists attack the legitimacy of borders, the rise of a new ethnic underclass is inevitable. Even more so than now, class politics will be ethnic politics, and national unity will be impossible. Salam offers a solution, if we have the courage to break with the past and craft an immigration policy that serves our long-term national interests. Rejecting both militant multiculturalism and white identity politics, he argues that limiting total immigration and favoring skilled immigrants will combat rising inequality, balance diversity with assimilation, and foster a new nationalism that puts the interests of all Americans—native-born and foreign-born—first.",,,,Completed,2019-07-08,2019-08-10,,,,1,2019-08-31,Penguin,2018-09-25,224,,0735216282,9780735216280
"David Epstein",David,Epstein,Range,"“Urgent and important. . . an essential read for bosses, parents, coaches, and anyone who cares about improving performance.” —Daniel H. Pink “So much crucial and revelatory information about performance, success, and education.” —Susan Cain, bestselling author of Quiet A powerful argument for how to succeed in any field: develop broad interests and skills while everyone around you is rushing to specialize. Plenty of experts argue that anyone who wants to develop a skill, play an instrument, or lead their field should start early, focus intensely, and rack up as many hours of deliberate practice as possible. If you dabble or delay, you’ll never catch up to the people who got a head start. But a closer look at research on the world’s top performers, from professional athletes to Nobel laureates, shows that early specialization is the exception, not the rule. David Epstein examined the world’s most successful athletes, artists, musicians, inventors, forecasters and scientists. He discovered that in most fields—especially those that are complex and unpredictable—generalists, not specialists, are primed to excel. Generalists often find their path late, and they juggle many interests rather than focusing on one. They’re also more creative, more agile, and able to make connections their more specialized peers can’t see. Provocative, rigorous, and engrossing, Range makes a compelling case for actively cultivating inefficiency. Failing a test is the best way to learn. Frequent quitters end up with the most fulfilling careers. The most impactful inventors cross domains rather than deepening their knowledge in a single area. As experts silo themselves further while computers master more of the skills once reserved for highly focused humans, people who think broadly and embrace diverse experiences and perspectives will increasingly thrive.",,,,Completed,2019-09-01,2019-09-14,,,,1,2019-08-31,Penguin,2019-05-28,352,,0735214492,9780735214491
"Jerry Z. Muller",Jerry,Muller,"Tyranny of Metrics, The","How the obsession with quantifying human performance threatens our schools, medical care, businesses, and governmentToday, organizations of all kinds are ruled by the belief that the path to success is quantifying human performance, publicizing the results, and dividing up the rewards based on the numbers. But in our zeal to instill the evaluation process with scientific rigor, we've gone from measuring performance to fixating on measuring itself. The result is a tyranny of metrics that threatens the quality of our lives and most important institutions. In this timely and powerful book, Jerry Muller uncovers the damage our obsession with metrics is causing--and shows how we can begin to fix the problem.Filled with examples from education, medicine, business and finance, government, the police and military, and philanthropy and foreign aid, this brief and accessible book explains why the seemingly irresistible pressure to quantify performance distorts and distracts, whether by encouraging ""gaming the stats"" or ""teaching to the test."" That's because what can and does get measured is not always worth measuring, may not be what we really want to know, and may draw effort away from the things we care about. Along the way, we learn why paying for measured performance doesn't work, why surgical scorecards may increase deaths, and much more. But metrics can be good when used as a complement to―rather than a replacement for―judgment based on personal experience, and Muller also gives examples of when metrics have been beneficial.Complete with a checklist of when and how to use metrics, The Tyranny of Metricsis an essential corrective to a rarely questioned trend that increasingly affects us all.",,,,Completed,2019-09-15,2019-09-22,,,,1,2019-08-31,"Princeton University Press",2018-02-06,240,,0691174954,9780691174952
