authors,first_name,last_name,title,description,rating,review_date,review,status,began_date,completed_date,tags,notes,groups,copies,created,publisher,publish_date,pages,price,isbn10,isbn13
"Saul Bellow",Saul,Bellow,"Saul Bellow: Letters","A never-before-published collection of letters-an intimate self- portrait as well as the portrait of a century.  Saul Bellow was a dedicated correspondent until a couple of years before his death, and his letters, spanning eight decades, show us a twentieth-century life in all its richness and complexity. Friends, lovers, wives, colleagues, and fans all cross these pages. Some of the finest letters are to Bellow's fellow writers-William Faulkner, John Cheever, Philip Roth, Martin Amis, Ralph Ellison, Cynthia Ozick, and Wright Morris. Intimate, ironical, richly observant, and funny, these letters reveal the influcences at work in the man, and illuminate his enduring legacy-the novels that earned him a Nobel Prize and the admiration of the world over. Saul Bellow: Letters is a major literary event and an important edition to Bellow's incomparable body of work.",,,,,,,,,,1,2015-08-22,"Viking Adult",2010-11-04,608,,0670022217,9780670022212
"Isaiah Berlin",Isaiah,Berlin,"Against the Current: Essays in the History of Ideas","In this outstanding collection of essays, Isaiah Berlin, one of the great thinkers of the twentieth century, discusses the importance in the history of thought of dissenters whose ideas still challenge conventional wisdom--among them Machiavelli, Vico, Montesquieu, Herzen, and Sorel. With his unusual powers of imaginative re-creation, Berlin brings to life original minds that swam against the current of their times.",,,,,,,,,,1,2015-08-22,"Princeton University Press",2001-11-01,300,,0691090262,9780691090269
"Roger D. Masters",Roger,Masters,"Beyond Relativism: Science and Human Values","Library Journal Masters (government, Dartmouth Coll.) first sets up the ``straw man'' of a value-free science and then laments that it has led to relativism and subjectivism in regard to values generally. He aims to show that the traditional values ``found in all major religions and ethical doctrines'' can be shown by science--when properly understood--to be implicit in human nature and that therefore no gap separates fact and value, ``is'' and ``ought,'' science and ethics. The book has the appearance and apparatus of a scholarly tour through intellectual history from the ancients to the present, but it is a confused conflation of ideas and concepts that does not come anywhere near its goal; in the end, it tells us nothing substantive about how science can help us cope with the complexity and difficult ethical choices of ``post-modern'' life.-- Leon H. Brody, U.S. Office of Personnel Mgt. Lib., Washington, D.C.",,,,,,,,,,1,2015-08-22,Dartmouth,1993-08-15,262,,087451634X,9780874516340
"Stanley Rosen",Stanley,Rosen,"Quarrel Between Philosophy and Poetry: Studies in Ancient Thought, The","Brings together Rosen's essays on ancient philosophy (including three new pieces), his views on the current state of scholarship in ancient philosophy and his own approach, and the title essay 'Hegel's Anti-Platonism'.",,,,,,,,,,1,2015-08-22,Routledge,1988-07-07,250,,0415001846,9780415001847
,,,"Philosopher's Handbook: Essential Readings from Plato to Kant, The","An ideal introduction for the casual reader and a beneficial reference for the student, The Philosopher's Handbook features the writings of some of the world's most influential philosophers. Based on the premise that all human beings are curious about their existence, Rosen's collection brings together primary excerpts from the works of prominent thinkers such as Plato, Nietzsche, Descartes, Machiavelli, and Kant. Experts in each field have carefully selected the sources and provided brief introductions to help readers gain insight into the readings. Newly revised in order to emphasize its broad appeal, The Philosopher's Handbook is a solid introduction to Western philosophy for all inquiring minds.",,,,,,,,,,1,2015-08-22,"Random House Reference",2003-04-08,628,,0375720111,9780375720116
"Benedictus de Spinoza",Benedictus,Spinoza,"Essential Spinoza: Ethics And Related Writings, The","Designed to facilitate a thoughtful and informed reading of Spinoza’s Ethics, this anthology provides the Ethics, related writings, and two valuable appendices: List of Propositions from the Ethics, which helps readers to trace the development of key themes; and Citations in Proofs, a list of all the propositions, corollaries, and scholia in the Ethics, together with all the definitions, axioms, propositions, corollaries, and scholia to which Spinoza refers in the proofs—thus, readers can locate, for a given item, each instance where Spinoza refers to it.",,,,,,,,,,1,2015-08-22,"Hackett Publishing Company",2006-03-30,336,,0872208036,9780872208032
"Immanuel Kant",Immanuel,Kant,"Critique of the Power of Judgment (The Cambridge Edition of the Works of Immanuel Kant)","This entirely new translation of Kant's Critique of the Power of Judgment  follows the principles and high standards of all other volumes in The Cambridge Edition of the Works of Immanuel Kant. This volume includes for the first time the first draft of Kant's introduction to the work; the only English edition notes to the many differences between the first (1790) and second (1793) editions of the work; and relevant passages in Kant's anthropology lectures where he elaborated on his aesthetic views.",,,,,,,,,,1,2015-08-22,"Cambridge University Press",2001-12-03,476,,0521348927,9780521348928
"Michel Foucault",Michel,Foucault,"Essential Foucault: Selections from the Essential Works of Foucault, 1954-1984, The","The latest book in The New Press's Essential series collects key texts from the influential French philosopher. Few philosophers have had as significant an impact on contemporary thought as Michel Foucault. His complete uncollected writings, under the title Dits et écrits, were published in French in 1994 and in a three-volume series from The New Press that brought the most important of these works—courses, articles, and interviews, many of them translated into English for the first time—to American readers. Now, Paul Rabinow and Nikolas Rose have collected the best pieces from the three-volume set into a one-volume anthology. The Essential Foucault, which features a new and provocative introduction by Rabinow and Rose, is certain to become the standard text for all those interested in a comprehensive overview of Foucault's thought.",,,,,,,,,,1,2015-08-22,"The New Press",2003-08-01,460,,1565848012,9781565848016
"Ludwig Wittgenstein,G. E. M. Anscombe,Elizabeth Anscombe",Ludwig,Wittgenstein,"Philosophical Investigations: The German Text, with a Revised English Translation 50th Anniversary Commemorative Edition","The Philosophical Investigations of Ludwig Wittgenstein (1889-1951) present his own distillation of two decades of intense work on the philosophies of mind, language and meaning.",,,,,,,,,,1,2015-08-22,Wiley-Blackwell,1991-01-16,246,,0631231277,9780631231271
,,,"Logos and Eros: Essays Honoring Stanley Rosen",,,,,,,,,,,1,2015-08-22,"St. Augustine's Press",2006-11-15,271,,1587314703,9781587314704
"Rémi Brague",Rémi,Brague,"Wisdom of the World: The Human Experience of the Universe in Western Thought, The","When the ancient Greeks looked up into the heavens, they saw not just sun and moon, stars and planets, but a complete, coherent universe, a model of the Good that could serve as a guide to a better life. How this view of the world came to be, and how we lost it (or turned away from it) on the way to becoming modern, make for a fascinating story, told in a highly accessible manner by Rémi Brague in this wide-ranging cultural history.Before the Greeks, people thought human action was required to maintain the order of the universe and so conducted rituals and sacrifices to renew and restore it. But beginning with the Hellenic Age, the universe came to be seen as existing quite apart from human action and possessing, therefore, a kind of wisdom that humanity did not. Wearing his remarkable erudition lightly, Brague traces the many ways this universal wisdom has been interpreted over the centuries, from the time of ancient Egypt to the modern era. Socratic and Muslim philosophers, Christian theologians and Jewish Kabbalists all believed that questions about the workings of the world and the meaning of life were closely intertwined and that an understanding of cosmology was crucial to making sense of human ethics. Exploring the fate of this concept in the modern day, Brague shows how modernity stripped the universe of its sacred and philosophical wisdom, transforming it into an ethically indifferent entity that no longer serves as a model for human morality.Encyclopedic and yet intimate, The Wisdom of the World offers the best sort of history: broad, learned, and completely compelling. Brague opens a window onto systems of thought radically different from our own.",,,,,,,,,,1,2015-08-22,"University Of Chicago Press",2004-11-01,306,,0226070778,9780226070773
